grid_id,centroid_lon,centroid_lat,mapsheet,obs_sum,spp_rich
615,26.75,-27.75003343,E026S28BB,7,7
616,27.25,-27.75003343,E027S28BB,4,4
617,27.75,-27.75003343,E027S28BB,1,1
618,28.25,-27.75003343,E028S28BB,1,1
619,28.75,-27.75003343,E028S28BB,8,6
620,29.25,-27.75003343,E029S28BB,2,2
621,29.75,-27.75003343,E029S28BB,100,76
622,30.25,-27.75003343,E030S28BB,4,4
623,30.75,-27.75003343,E030S28BB,2,2
624,31.25,-27.75003343,E031S28BB,214,113
625,31.75,-27.75003343,E031S28BB,77,61
626,32.25,-27.75003343,E032S28BB,1038,360
627,32.75,-27.75003343,E032S28BB,215,129
640,20.75,-27.25003474,E020S28BB,1,1
643,22.25,-27.25003474,E022S28BB,72,40
644,22.75,-27.25003474,E022S28BB,14,13
645,23.25,-27.25003474,E023S28BB,6,5
647,24.25,-27.25003474,E024S28BB,6,6
651,26.25,-27.25003474,E026S28BB,1,1
652,26.75,-27.25003474,E026S28BB,1,1
654,27.75,-27.25003474,E027S28BB,2,2
655,28.25,-27.25003474,E028S28BB,1,1
656,28.75,-27.25003474,E028S28BB,17,14
657,29.25,-27.25003474,E029S28BB,1,1
658,29.75,-27.25003474,E029S28BB,4,4
659,30.25,-27.25003474,E030S28BB,77,47
660,30.75,-27.25003474,E030S28BB,59,46
661,31.25,-27.25003474,E031S28BB,62,49
662,31.75,-27.25003474,E031S28BB,51,46
663,32.25,-27.25003474,E032S28BB,78,62
664,32.75,-27.25003474,E032S28BB,236,156
677,20.75,-26.75003594,E020S27BB,12,10
679,21.75,-26.75003594,E021S27BB,50,40
680,22.25,-26.75003594,E022S27BB,1,1
685,24.75,-26.75003594,E024S27BB,8,7
686,25.25,-26.75003594,E025S27BB,2,2
687,25.75,-26.75003594,E025S27BB,6,6
689,26.75,-26.75003594,E026S27BB,18,14
690,27.25,-26.75003594,E027S27BB,153,55
691,27.75,-26.75003594,E027S27BB,23,16
692,28.25,-26.75003594,E028S27BB,28,19
693,28.75,-26.75003594,E028S27BB,2,2
694,29.25,-26.75003594,E029S27BB,6,5
695,29.75,-26.75003594,E029S27BB,101,83
696,30.25,-26.75003594,E030S27BB,7,5
697,30.75,-26.75003594,E030S27BB,18,10
700,32.25,-26.75003594,E032S27BB,341,144
701,32.75,-26.75003594,E032S27BB,158,114
713,20.25,-26.25003703,E020S27BB,26,16
714,20.75,-26.25003703,E020S27BB,103,48
720,23.75,-26.25003703,E023S27BB,1,1
721,24.25,-26.25003703,E024S27BB,1,1
725,26.25,-26.25003703,E026S27BB,1,1
727,27.25,-26.25003703,E027S27BB,36,30
728,27.75,-26.25003703,E027S27BB,1070,269
729,28.25,-26.25003703,E028S27BB,1366,502
730,28.75,-26.25003703,E028S27BB,31,15
731,29.25,-26.25003703,E029S27BB,14,11
732,29.75,-26.25003703,E029S27BB,11,8
733,30.25,-26.25003703,E030S27BB,4,3
734,30.75,-26.25003703,E030S27BB,36,31
735,31.25,-26.25003703,E031S27BB,59,44
749,19.75,-25.75003803,E019S26BB,2,2
750,20.25,-25.75003803,E020S26BB,7,6
751,20.75,-25.75003803,E020S26BB,4,4
755,22.75,-25.75003803,E022S26BB,4,3
761,25.75,-25.75003803,E025S26BB,5,5
762,26.25,-25.75003803,E026S26BB,14,13
763,26.75,-25.75003803,E026S26BB,11,9
764,27.25,-25.75003803,E027S26BB,252,133
765,27.75,-25.75003803,E027S26BB,840,297
766,28.25,-25.75003803,E028S26BB,2196,395
767,28.75,-25.75003803,E028S26BB,257,146
768,29.25,-25.75003803,E029S26BB,358,198
769,29.75,-25.75003803,E029S26BB,8,7
770,30.25,-25.75003803,E030S26BB,114,81
771,30.75,-25.75003803,E030S26BB,240,154
772,31.25,-25.75003803,E031S26BB,422,222
773,31.75,-25.75003803,E031S26BB,90,79
788,20.75,-25.25003893,E020S26BB,22,15
